film_name,film_year,production_company
Guys and Dolls,1955,Samuel Goldwyn Productions
Love Me or Leave Me,1955,Metro-Goldwyn-Mayer
Around the World in 80 Days,1956,Michael Todd Company
Between Heaven and Hell,1956,20th Century Fox
The Rainmaker,1956,Hal Wallis Productions
The Best Things in Life Are Free,1956,20th Century Fox
The Eddy Duchin Story,1956,Columbia Pictures
Meet Me in Las Vegas,1956,Metro-Goldwyn-Mayer
The Bridge on the River Kwai,1957,Horizon Pictures
An Affair to Remember,1957,Jerry Wald Productions
Perri,1957,Walt Disney Productions
White Wilderness,1958,Walt Disney Productions
Mardi Gras,1958,Jerry Wald Productions
South Pacific,1958,South Pacific Enterprises
Ben-Hur,1959,Metro-Goldwyn-Mayer
The Nun's Story,1959,Warner Bros.
Porgy and Bess,1959,Samuel Goldwyn Productions
Say One For Me,1959,Bing Crosby Productions
Sleeping Beauty,1959,Walt Disney Productions
Spartacus,1960,Bryna Productions
Bells Are Ringing,1960,An Arthur Freed Production
Fanny,1961,Mansfield Productions
The Guns of Navarone,1961,Highroad Productions
Babes in Toyland,1961,Walt Disney Productions
Flower Drum Song,1961,Hunter-Fields Productions
Khovanshchina,1960,Mosfilm
Lawrence of Arabia,1962,Horizon Pictures
Lawrence of Arabia,1962,
Freud: The Secret Passion,1962,Universal-International
To Kill a Mockingbird,1962,Brentwood Productions
Gigot,1962,Seven Arts Productions
Tom Jones,1963,Woodfall Film Productions
55 Days at Peking,1963,Samuel Bronston Productions
"It's a Mad, Mad, Mad, Mad World",1963,Casey Productions
Irma la Douce,1963,The Mirisch Corporation
Bye Bye Birdie,1963,The Kohlmar-Sidney Company
A New Kind of Love,1963,Llenroc Productions
The Sword in the Stone,1963,Walt Disney Productions
Mary Poppins,1964,Walt Disney Productions
Becket,1964,Hal Wallis Productions
The Fall of the Roman Empire,1964,Samuel Bronston Productions
My Fair Lady,1964,Warner Bros.
Mary Poppins,1964,Walt Disney Productions
Robin and the 7 Hoods,1964,P-C Productions
The Unsinkable Molly Brown,1964,Metro-Goldwyn-Mayer
The Agony and the Ecstasy,1965,International Classics
The Greatest Story Ever Told,1965,George Stevens Productions
Cat Ballou,1965,Harold Hecht Corporation
Born Free,1966,Shepperton Studios
Hawaii,1966,The Mirisch Corporation
The Sand Pebbles,1966,A Robert Wise Production
Thoroughly Modern Millie,1967,Ross Hunter Productions
Cool Hand Luke,1967,Jalem Productions
Doctor Dolittle,1967,APJAC Productions
In Cold Blood,1967,Pax Enterprises
Camelot,1967,Warner Bros.-Seven Arts
Camelot,1967,
Doctor Dolittle,1967,APJAC Productions
Thoroughly Modern Millie,1967,Ross Hunter Productions
Valley of the Dolls,1967,Red Lion Productions
The Lion in Winter,1968,Haworth Productions
Planet of the Apes,1968,APJAC Productions
Oliver!,1968,Romulus Films
Finian's Rainbow,1968,Warner Bros.-Seven Arts
Funny Girl,1968,Rastar
Anne of the Thousand Days,1969,Hal Wallis Productions
The Secret of Santa Vittoria,1969,The Stanley Kramer Corporation
The Wild Bunch,1969,Warner Bros.-Seven Arts
"Hello, Dolly!",1969,Chenault Productions
"Goodbye, Mr. Chips",1969,APJAC Productions
Airport,1970,Ross Hunter Productions
Cromwell,1970,Irving Allen Productions
The Baby Maker,1970,Robert Wise Productions
Darling Lili,1970,Geoffrey Productions
Scrooge,1970,Cinema Center Films
Summer of '42,1971,Mulligan-Roth Productions
Nicholas and Alexandra,1971,Horizon Pictures
Shaft,1971,Shaft Productions
Bedknobs and Broomsticks,1971,Walt Disney Productions
The Boy Friend,1971,Russflix
Tchaikovsky(),1970,Mosfilm
Limelight,1952,Celebrated Productions
Images,1972,Hemdale Film Corporation
Napoleon and Samantha,1972,Walt Disney Productions
Sleuth,1972,Palomar Pictures International
Cabaret,1972,ABC Pictures Corp.
Lady Sings the Blues,1972,Motown Productions
Man of La Mancha,1972,Produzioni Europee Associati (PEA)
The Way We Were,1973,Rastar
Cinderella Liberty,1973,Sanford Productions
A Touch of Class,1973,Brut Productions
Tom Sawyer,1973,Reader's Digest
The Great Gatsby,1974,Newdon Productions
The Little Prince,1974,Stanley Donen Films
Phantom of the Paradise,1974,Harbor Productions
"Birds Do It, Bees Do It",1974,Wolper Productions
One Flew Over the Cuckoo's Nest,1975,Fantasy Films
Funny Lady,1975,Rastar
Obsession,1976,Yellowbird Productions
The Outlaw Josey Wales,1976,The Malpaso Company
Voyage of the Damned,1976,ITC Entertainment
Star Wars,1977,Lucasfilm Ltd.
Julia,1977,20th Century Fox
The Message,1976,Filmco International Productions Inc.
The Spy Who Loved Me,1977,Eon Productions
