movie_id,movie_name,run_time,run_time
817,Monty Woolley,,
818,Humphrey Bogart,,
819,Mickey Rooney,,
820,Charles Boyer,,
821,Barry Fitzgerald,,
822,Alexander Knox,,
823,Bing Crosby,,
824,Gene Kelly,,
825,Gregory Peck,,
826,Cornel Wilde,,
827,Larry Parks,,
828,James Stewart,,
829,John Garfield,,
830,William Powell,,
831,Michael Redgrave,,
832,Lew Ayres,,
833,Montgomery Clift,,
834,Dan Dailey,,
835,Clifton Webb,,
836,Kirk Douglas,,
837,Richard Todd,,
838,Cyrano de Bergerac,,137.0
839,Louis Calhern,,
840,William Holden,,
841,Marlon Brando,,
842,Arthur Kennedy,,
843,Fredric March,,
844,José Ferrer,,
845,Alec Guinness,,
846,Richard Burton,,
847,Burt Lancaster,,
848,James Mason,,
849,Dan O'Herlihy,,
850,James Cagney,,
851,James Dean,,
852,Frank Sinatra,,
853,Rock Hudson,,
854,Anthony Franciosa,,
855,Anthony Quinn,,
856,Tony Curtis,,
857,Sidney Poitier,,
858,Laurence Harvey,,
859,Jack Lemmon,,
860,Elmer Gantry,,146.0
861,Trevor Howard,,
862,Stuart Whitman,,
863,Marcello Mastroianni,,
864,Peter O'Toole,,
865,Albert Finney,,
866,Richard Harris,,
867,Rex Harrison,,
868,Peter Sellers,,
869,Rod Steiger,,
870,Oskar Werner,,
871,Alan Arkin,,
872,Michael Caine,,
873,Dustin Hoffman,,
874,Alan Bates,,
875,Ron Moody,,
876,Jon Voight,,
877,Melvyn Douglas,,
878,James Earl Jones,,
879,Jack Nicholson,,
880,Ryan O'Neal,,
881,Peter Finch,,
882,Walter Matthau,,
883,George C. Scott,,
884,Topol,,
885,Paul Winfield,,
886,Al Pacino,,
887,Maximilian Schell,,
888,James Whitmore,,
889,Robert De Niro,,
890,Giancarlo Giannini,,
891,Sylvester Stallone,,
892,John Travolta,,
893,Gary Busey,,
894,Roy Scheider,,
895,Raging Bull,,129.0
896,Robert Duvall,,
897,John Hurt,,
898,Dudley Moore,,
899,Tom Conti,,
900,Tom Courtenay,,
901,Jeff Bridges,,
902,Tom Hulce,,
903,Sam Waterston,,
904,Harrison Ford,,
905,James Garner,,
906,Dexter Gordon,,
907,Bob Hoskins,,
908,William Hurt,,
909,James Woods,,
910,Robin Williams,,
911,Gene Hackman,,
912,Tom Hanks,,
913,Edward James Olmos,,
914,Max von Sydow,,
915,Morgan Freeman,,
916,Reversal of Fortune,,111.0
917,Kevin Costner,,
918,Gérard Depardieu,,
919,Nick Nolte,,
920,Robert Downey Jr.,,
921,Stephen Rea,,
922,Denzel Washington,,
923,Daniel Day-Lewis,,
924,Laurence Fishburne,,
925,Anthony Hopkins,,
926,Liam Neeson,,
927,Nigel Hawthorne,,
928,Richard Dreyfuss,,
929,Sean Penn,,
930,Massimo Troisi,,
931,Ralph Fiennes,,
932,Woody Harrelson,,
933,Billy Bob Thornton,,
934,Peter Fonda,,
935,Ian McKellen,,
936,Edward Norton,,
937,Russell Crowe,,
938,Richard Farnsworth,,
939,Javier Bardem,,
940,Ed Harris,,
941,Geoffrey Rush,,
942,Will Smith,,
943,Tom Wilkinson,,
944,Nicolas Cage,,
945,Johnny Depp,,
946,Ben Kingsley,,
947,Jude Law,,
948,Bill Murray,,
949,Don Cheadle,,
950,Leonardo DiCaprio,,
951,Terrence Howard,,
952,Heath Ledger,,
953,Joaquin Phoenix,,
954,David Strathairn,,
955,Ryan Gosling,,
956,Tommy Lee Jones,,
957,Viggo Mortensen,,
958,Richard Jenkins,,
959,Frank Langella,,
960,Mickey Rourke,,
961,Colin Firth,,
962,Jeremy Renner,,
963,Jesse Eisenberg,,
964,James Franco,,
965,Demián Bichir,,
966,Gary Oldman,,
967,Hugh Jackman,,
968,Christian Bale,,
969,Bruce Dern,,
970,Chiwetel Ejiofor,,
971,Steve Carell,,
972,Benedict Cumberbatch,,
973,Michael Keaton,,
974,Bryan Cranston,,
975,Michael Fassbender,,
976,Eddie Redmayne,,
977,Andrew Garfield,,
978,Timothée Chalamet,,
979,Daniel Kaluuya,,
980,Willem Dafoe,,
981,Antonio Banderas,,
982,Adam Driver,,
983,Jonathan Pryce,,
984,The Father,,97.0
985,Riz Ahmed,,
986,Chadwick Boseman,,
987,Steven Yeun,,
988,Austin Butler,,
989,Colin Farrell,,
990,Paul Mescal,,
991,Bill Nighy,,
992,Colman Domingo,,
993,Paul Giamatti,,
994,Jeffrey Wright,,
995,Sebastian Stan,,
996,Nancy Carroll,,
997,Ruth Chatterton,,
998,Greta Garbo,,
999,Madame Rita Cavallini,,
1000,Norma Shearer,,
1001,Gloria Swanson,,
1002,Marlene Dietrich,,
1003,Irene Dunne,,
1004,Ann Harding,,
1005,Marie Dressler,,
1006,Lynn Fontanne,,
1007,May Robson,,
1008,Diana Wynyard,,
1009,Bette Davis,,
1010,Grace Moore,,
1011,Elisabeth Bergner,,
1012,Claudette Colbert,,
1013,Katharine Hepburn,,
1014,Miriam Hopkins,,
1015,Merle Oberon,,
1016,Gladys George,,
1017,Carole Lombard,,
1018,Janet Gaynor,,
1019,Barbara Stanwyck,,
1020,Fay Bainter,,
1021,Wendy Hiller,,
1022,Margaret Sullavan,,
1023,Greer Garson,,
1024,Joan Fontaine,,
1025,Martha Scott,,
1026,Olivia de Havilland,,
1027,Rosalind Russell,,
1028,Teresa Wright,,
1029,Jean Arthur,,
1030,Ingrid Bergman,,
1031,Jennifer Jones,,
1032,Gene Tierney,,
1033,Celia Johnson,,
1034,Jane Wyman,,
1035,Joan Crawford,,
1036,Susan Hayward,,
1037,Dorothy McGuire,,
1038,Jeanne Crain,,
1039,Deborah Kerr,,
1040,Loretta Young,,
1041,Anne Baxter,,
1042,Eleanor Parker,,
1043,Shelley Winters,,
1044,Julie Harris,,
1045,Leslie Caron,,
1046,Ava Gardner,,
1047,Maggie McNamara,,
1048,Dorothy Dandridge,,
1049,Judy Garland,,
1050,Audrey Hepburn,,
1051,Carroll Baker,,
1052,Nancy Kelly,,
1053,Anna Magnani,,
1054,Elizabeth Taylor,,
1055,Lana Turner,,
1056,Shirley MacLaine,,
1057,Doris Day,,
1058,BUtterfield 8,,109.0
1059,Melina Mercouri,,
1060,Piper Laurie,,
1061,Geraldine Page,,
1062,Natalie Wood,,
1063,Lee Remick,,
1064,Rachel Roberts,,
1065,Anne Bancroft,,
1066,Sophia Loren,,
1067,Debbie Reynolds,,
1068,Kim Stanley,,
1069,Julie Andrews,,
1070,Samantha Eggar,,
1071,Elizabeth Hartman,,
1072,Simone Signoret,,
